tweet_id,author_id,tweet,lang,tweet_time,like_count,follower_count,following_count,tweet_count,retweet_count,quote_count,reply_count,call_berlin_time,annotate_sent,annotate_person,lowercase,tokenized,tokenized_no_sw,preproc
1388780050229731329,14675346,".@SNB_BNS_de Die Schweizerische Nationalbank verursacht mit ihren Investitionen so viel CO2-Ausstoss, wie die GANZE Schweiz im Inland. Jetzt Finanzierung der Klimakrise stoppen! #ExitFossilFuelsNow @campaxorg",de,2021-05-02 08:59:00+00:00,52,26299,1943,30402,12,0,0,2022-05-07 11:20:23,-1.0,P,".@snb_bns_de die schweizerische nationalbank verursacht mit ihren investitionen so viel co2-ausstoss, wie die ganze schweiz im inland. jetzt finanzierung der klimakrise stoppen! #exitfossilfuelsnow @campaxorg","['.', '<user>', 'die', 'schweizerische', 'nationalbank', 'verursacht', 'mit', 'ihren', 'investitionen', 'so', 'viel', 'co2', '-', 'ausstoss', ',', 'wie', 'die', 'ganze', 'schweiz', 'im', 'inland', '.', 'jetzt', 'finanzierung', 'der', 'klimakrise', 'stoppen', '!', 'exit', 'fossil', 'fuels', 'now', '<user>']","['.', '<user>', 'schweizerische', 'nationalbank', 'verursacht', 'investitionen', 'co2', '-', 'ausstoss', ',', 'ganze', 'schweiz', 'inland', '.', 'finanzierung', 'klimakrise', 'stoppen', '!', 'exit', 'fossil', 'fuels', 'now', '<user>']","['.', 'schweizerische', 'nationalbank', 'verursacht', 'co2', '-', 'ausstoss', ',', '.', 'stoppen', '!', 'exit', 'fossil', 'fuels', 'now', '<user>']"
1388852028609290242,1178320264590954497,"@VodekP @andreas_glarner @UniaSchweiz Dass die Schweiz eine Demokratie ist, in der jeder den grössten Unsinn erzählen kann und anständige Leute beleidigen kann, beweisen Sie eindrücklich. Ich hoffe, dass Sie ausser braune Luft auch aktiv etwas zur Volkswirtschaft beitragen.",de,2021-05-02 13:45:01+00:00,9,426,320,23434,0,0,1,2022-05-07 11:20:23,-1.0,P,"@vodekp @andreas_glarner @uniaschweiz dass die schweiz eine demokratie ist, in der jeder den grössten unsinn erzählen kann und anständige leute beleidigen kann, beweisen sie eindrücklich. ich hoffe, dass sie ausser braune luft auch aktiv etwas zur volkswirtschaft beitragen.","['<user>', '<user>', '<user>', 'dass', 'die', 'schweiz', 'eine', 'demokratie', 'ist', ',', 'in', 'der', 'jeder', 'den', 'grössten', 'unsinn', 'erzählen', 'kann', 'und', 'anständige', 'leute', 'beleidigen', 'kann', ',', 'beweisen', 'sie', 'eindrücklich', '.', 'ich', 'hoffe', ',', 'dass', 'sie', 'ausser', 'braune', 'luft', 'auch', 'aktiv', 'etwas', 'zur', 'volkswirtschaft', 'beitragen', '.']","['<user>', '<user>', '<user>', 'schweiz', 'demokratie', ',', 'grössten', 'unsinn', 'erzählen', 'anständige', 'leute', 'beleidigen', ',', 'beweisen', 'eindrücklich', '.', 'hoffe', ',', 'ausser', 'braune', 'luft', 'aktiv', 'volkswirtschaft', 'beitragen', '.']","['<user>', '<user>', '<user>', 'demokratie', ',', 'grössten', 'anständige', ',', 'beweisen', '.', 'hoffe', ',', 'braune', 'aktiv', 'volkswirtschaft', 'beitragen', '.']"
1388883131676168192,13967362,".@SNB_BNS_de Die Schweizerische Nationalbank verursacht mit ihren Investitionen so viel CO2-Ausstoss, wie die GANZE Schweiz im Inland. Jetzt Finanzierung der Klimakrise stoppen! #ExitFossilFuelsNow @campaxorg",de,2021-05-02 15:48:37+00:00,1,2,30,231,0,0,0,2022-05-07 11:20:23,,,".@snb_bns_de die schweizerische nationalbank verursacht mit ihren investitionen so viel co2-ausstoss, wie die ganze schweiz im inland. jetzt finanzierung der klimakrise stoppen! #exitfossilfuelsnow @campaxorg","['.', '<user>', 'die', 'schweizerische', 'nationalbank', 'verursacht', 'mit', 'ihren', 'investitionen', 'so', 'viel', 'co2', '-', 'ausstoss', ',', 'wie', 'die', 'ganze', 'schweiz', 'im', 'inland', '.', 'jetzt', 'finanzierung', 'der', 'klimakrise', 'stoppen', '!', 'exit', 'fossil', 'fuels', 'now', '<user>']","['.', '<user>', 'schweizerische', 'nationalbank', 'verursacht', 'investitionen', 'co2', '-', 'ausstoss', ',', 'ganze', 'schweiz', 'inland', '.', 'finanzierung', 'klimakrise', 'stoppen', '!', 'exit', 'fossil', 'fuels', 'now', '<user>']","['.', 'schweizerische', 'nationalbank', 'verursacht', 'co2', '-', 'ausstoss', ',', '.', 'stoppen', '!', 'exit', 'fossil', 'fuels', 'now', '<user>']"
1388964096138166275,1056653626058387457,"#SRFDOK „Der grösste Wirtschaftssektor in der Schweiz ist der produzierende.“ Falsch: Es ist der Care-Sektor, der empörenderweise im BIP nicht erfasst ist! #WirtschaftistCare",de,2021-05-02 21:10:20+00:00,14,679,546,16256,3,1,0,2022-05-07 11:20:23,-1.0,P,"#srfdok „der grösste wirtschaftssektor in der schweiz ist der produzierende.“ falsch: es ist der care-sektor, der empörenderweise im bip nicht erfasst ist! #wirtschaftistcare","['s', 'rfd', 'ok', '„', 'der', 'grösste', 'wirtschaftssektor', 'in', 'der', 'schweiz', 'ist', 'der', 'produzierende', '.', '“', 'falsch', ':', 'es', 'ist', 'der', 'care', '-', 'sektor', ',', 'der', 'empörenderweise', 'im', 'bip', 'nicht', 'erfasst', 'ist', '!', 'wirtschaftis', 't', 'care']","['s', 'rfd', 'ok', '„', 'grösste', 'wirtschaftssektor', 'schweiz', 'produzierende', '.', '“', 'falsch', ':', 'care', '-', 'sektor', ',', 'empörenderweise', 'bip', 'erfasst', '!', 'wirtschaftis', 't', 'care']","['s', 'rfd', 'ok', '„', 'grösste', 'wirtschaftssektor', 'produzierende', '.', '“', 'falsch', ':', 'care', '-', 'sektor', ',', 'empörenderweise', 'bip', 'erfasst', '!', 'wirtschaftis', 't', 'care']"
1389098219066568706,460288171,"VORBÖRSE SCHWEIZ:

$SMI 0,26%
$SMIM +0,10%

$NOVN +1,1% (Produktnews)

$GAM -0,1%
$HUBN +0,8% (Firmenkauf)
$LAND +1,1% (Firmenkauf)

Übrige Aktien gut gehalten gestellt.",de,2021-05-03 06:03:18+00:00,1,5123,297,21107,0,0,0,2022-05-07 11:20:23,,,"vorbörse schweiz:

$smi 0,26%
$smim +0,10%

$novn +1,1% (produktnews)

$gam -0,1%
$hubn +0,8% (firmenkauf)
$land +1,1% (firmenkauf)

übrige aktien gut gehalten gestellt.","['vorbörse', 'schweiz', ':', '$', 'smi', '<percent>', '$', 'smim', '+', '<percent>', '$', 'novn', '+', '<percent>', '(', 'produktnews', ')', '$', 'gam', '-', '<percent>', '$', 'hubn', '+', '<percent>', '(', 'firmenkauf', ')', '$', 'land', '+', '<percent>', '(', 'firmenkauf', ')', 'übrige', 'aktien', 'gut', 'gehalten', 'gestellt', '.']","['vorbörse', 'schweiz', ':', '$', 'smi', '<percent>', '$', 'smim', '+', '<percent>', '$', 'novn', '+', '<percent>', '(', 'produktnews', ')', '$', 'gam', '-', '<percent>', '$', 'hubn', '+', '<percent>', '(', 'firmenkauf', ')', '$', 'land', '+', '<percent>', '(', 'firmenkauf', ')', 'übrige', 'aktien', 'gut', 'gehalten', 'gestellt', '.']","['vorbörse', 'schweiz', ':', '$', '<percent>', '$', '+', '<percent>', '$', '+', '<percent>', '(', ')', '$', '-', '<percent>', '$', '+', '<percent>', '(', ')', '$', 'land', '+', '<percent>', '(', 'firmenkauf', ')', 'gut', 'gehalten', 'gestellt', '.']"
1389175906598588419,1334262448032018435,"USA 🇺🇸
Japan 🇯🇵
Germany 🇩🇪
England 🇬🇧
France 🇫🇷
Italy 🇮🇹
Canada 🇨🇦
G7 Total = 9.70%
+
G Korea 🇰🇷
Australia 🇦🇺
Switzerland 🇨🇭
Sweden 🇸🇪
Belgium 🇧🇪
Israel 🇮🇱
Denmark 🇩🇰
Portugal 🇵🇹

Total Inflation 16.73% 💁‍♂️

TURKEY 🇹🇷 17.14% 🤷",de,2021-05-03 11:12:00+00:00,1,102,96,80,0,0,0,2022-05-07 11:20:23,,,"usa 🇺🇸
japan 🇯🇵
germany 🇩🇪
england 🇬🇧
france 🇫🇷
italy 🇮🇹
canada 🇨🇦
g7 total = 9.70%
+
g korea 🇰🇷
australia 🇦🇺
switzerland 🇨🇭
sweden 🇸🇪
belgium 🇧🇪
israel 🇮🇱
denmark 🇩🇰
portugal 🇵🇹

total inflation 16.73% 💁‍♂️

turkey 🇹🇷 17.14% 🤷","['usa', '🇺', '🇸', 'japan', '🇯', '🇵', 'germany', '🇩', '🇪', 'england', '🇬', '🇧', 'france', '🇫', '🇷', 'italy', '🇮', '🇹', 'canada', '🇨', '🇦', 'g7', 'total', '=', '<percent>', '+', 'g', 'korea', '🇰', '🇷', 'australia', '🇦', '🇺', 'switzerland', '🇨', '🇭', 'sweden', '🇸', '🇪', 'belgium', '🇧', '🇪', 'israel', '🇮', '🇱', 'denmark', '🇩', '🇰', 'portugal', '🇵', '🇹', 'total', 'inflation', '<percent>', '💁', '\u200d', '♂️', 'turkey', '🇹', '🇷', '<percent>', '🤷']","['usa', '🇺', '🇸', 'japan', '🇯', '🇵', 'germany', '🇩', '🇪', 'england', '🇬', '🇧', 'france', '🇫', '🇷', 'italy', '🇮', '🇹', 'canada', '🇨', '🇦', 'g7', 'total', '=', '<percent>', '+', 'g', 'korea', '🇰', '🇷', 'australia', '🇦', '🇺', 'switzerland', '🇨', '🇭', 'sweden', '🇸', '🇪', 'belgium', '🇧', '🇪', 'israel', '🇮', '🇱', 'denmark', '🇩', '🇰', 'portugal', '🇵', '🇹', 'total', 'inflation', '<percent>', '💁', '\u200d', '♂️', 'turkey', '🇹', '🇷', '<percent>', '🤷']","['🇸', '🇯', '🇵', '🇩', '🇬', '🇫', '🇷', '🇹', '🇨', 'g7', '=', '<percent>', '+', 'g', 'korea', '🇰', '🇷', '🇦', '🇺', '🇨', '🇭', '🇸', '🇪', '🇧', '🇪', '🇮', '🇱', '🇩', '🇰', '🇵', '🇹', 'total', 'inflation', '<percent>', '💁', '\u200d', '♂️', '🇹', '🇷', '<percent>', '🤷']"
1389287704148447239,249811175,".@SNB_BNS_de Die Schweizerische Nationalbank verursacht mit ihren Investitionen so viel CO2-Ausstoss, wie die GANZE Schweiz im Inland. Jetzt Finanzierung der Klimakrise stoppen! #ExitFossilFuelsNow @campaxorg",de,2021-05-03 18:36:15+00:00,4,86,311,1448,1,0,0,2022-05-07 11:20:23,-1.0,P,".@snb_bns_de die schweizerische nationalbank verursacht mit ihren investitionen so viel co2-ausstoss, wie die ganze schweiz im inland. jetzt finanzierung der klimakrise stoppen! #exitfossilfuelsnow @campaxorg","['.', '<user>', 'die', 'schweizerische', 'nationalbank', 'verursacht', 'mit', 'ihren', 'investitionen', 'so', 'viel', 'co2', '-', 'ausstoss', ',', 'wie', 'die', 'ganze', 'schweiz', 'im', 'inland', '.', 'jetzt', 'finanzierung', 'der', 'klimakrise', 'stoppen', '!', 'exit', 'fossil', 'fuels', 'now', '<user>']","['.', '<user>', 'schweizerische', 'nationalbank', 'verursacht', 'investitionen', 'co2', '-', 'ausstoss', ',', 'ganze', 'schweiz', 'inland', '.', 'finanzierung', 'klimakrise', 'stoppen', '!', 'exit', 'fossil', 'fuels', 'now', '<user>']","['.', 'schweizerische', 'nationalbank', 'verursacht', 'co2', '-', 'ausstoss', ',', '.', 'stoppen', '!', 'exit', 'fossil', 'fuels', 'now', '<user>']"
1389371339643961348,54846683,"Moderna: ca. 30US$/Dosis
1kg Schweizer Kartoffeln: ca. 1.30 CHF/kg

""Konsum"" Schweiz: 
13M Dosen Moderna = 390M US$
430'000t Kartoffeln = ca. 560M CHF

Das ist der Grund, wieso die Schweiz kein ""eigenes"" Moderna produzieren will. 
Lieber in Kartoffeln investieren. 🤣😉😇",de,2021-05-04 00:08:35+00:00,3,722,312,30254,0,0,0,2022-05-07 11:20:23,1.0,P,"moderna: ca. 30us$/dosis
1kg schweizer kartoffeln: ca. 1.30 chf/kg

""konsum"" schweiz: 
13m dosen moderna = 390m us$
430'000t kartoffeln = ca. 560m chf

das ist der grund, wieso die schweiz kein ""eigenes"" moderna produzieren will. 
lieber in kartoffeln investieren. 🤣😉😇","['moderna', ':', 'ca', '.', '3', '0', 'us', '$/', 'dosis', '1', 'kg', 'schweizer', 'kartoffeln', ':', 'ca', '.', '<number>', 'chf', '/', 'kg', '""', 'konsum', '""', 'schweiz', ':', '1', '3', 'm', 'dosen', 'moderna', '=', '3', '9', '0', 'm', 'us', '$', '<number>', ""'"", '0', '0', '0', 't', 'kartoffeln', '=', 'ca', '.', '5', '6', '0', 'm', 'chf', 'das', 'ist', 'der', 'grund', ',', 'wieso', 'die', 'schweiz', 'kein', '""', 'eigenes', '""', 'moderna', 'produzieren', 'will', '.', 'lieber', 'in', 'kartoffeln', 'investieren', '.', '🤣', '😉', '😇']","['moderna', ':', 'ca', '.', '3', '0', 'us', '$/', 'dosis', '1', 'kg', 'schweizer', 'kartoffeln', ':', 'ca', '.', '<number>', 'chf', '/', 'kg', '""', 'konsum', '""', 'schweiz', ':', '1', '3', 'm', 'dosen', 'moderna', '=', '3', '9', '0', 'm', 'us', '$', '<number>', ""'"", '0', '0', '0', 't', 'kartoffeln', '=', 'ca', '.', '5', '6', '0', 'm', 'chf', 'grund', ',', 'wieso', 'schweiz', '""', 'eigenes', '""', 'moderna', 'produzieren', '.', 'lieber', 'kartoffeln', 'investieren', '.', '🤣', '😉', '😇']","[':', 'ca', '.', '3', '0', 'us', '$/', 'dosis', '1', 'kg', 'schweizer', ':', 'ca', '.', '/', 'kg', '""', 'konsum', '""', ':', '1', '3', 'm', '=', '3', '9', '0', 'm', 'us', '$', '<number>', ""'"", '0', '0', '0', 't', 'kartoffeln', '=', 'ca', '.', '5', '6', '0', 'm', 'chf', ',', 'wieso', 'schweiz', '""', 'eigenes', '""', 'moderna', 'produzieren', '.', 'lieber', 'kartoffeln', 'investieren', '.', '😉']"
1389460647684067333,460288171,"VORBÖRSE SCHWEIZ:

$SMI +0,11%
$SMIM +0,03%

$CSGN -0,9%
$GEBN +2,6% (Zahlen)

$ADEN +1,4% (Zahlen)
$AMS -3,4% (Zahlen, Ausblick)
$BALN -2,5% (ex Dividende)
$EFGN -2,8% (ex Dividende)
$HELN -2,9% (ex Dividende)
$OERL +3,1% (Zahlen)
$SIGN +1,8% (Zahlen)
$SWON +1,1% (Übernahme)",de,2021-05-04 06:03:27+00:00,1,5123,297,21107,0,0,0,2022-05-07 11:20:23,,,"vorbörse schweiz:

$smi +0,11%
$smim +0,03%

$csgn -0,9%
$gebn +2,6% (zahlen)

$aden +1,4% (zahlen)
$ams -3,4% (zahlen, ausblick)
$baln -2,5% (ex dividende)
$efgn -2,8% (ex dividende)
$heln -2,9% (ex dividende)
$oerl +3,1% (zahlen)
$sign +1,8% (zahlen)
$swon +1,1% (übernahme)","['vorbörse', 'schweiz', ':', '$', 'smi', '+', '<percent>', '$', 'smim', '+', '<percent>', '$', 'csgn', '-', '<percent>', '$', 'gebn', '+', '<percent>', '(', 'zahlen', ')', '$', 'aden', '+', '<percent>', '(', 'zahlen', ')', '$', 'ams', '-', '<percent>', '(', 'zahlen', ',', 'ausblick', ')', '$', 'baln', '-', '<percent>', '(', 'ex', 'dividende', ')', '$', 'efgn', '-', '<percent>', '(', 'ex', 'dividende', ')', '$', 'heln', '-', '<percent>', '(', 'ex', 'dividende', ')', '$', 'oerl', '+', '<percent>', '(', 'zahlen', ')', '$', 'sign', '+', '<percent>', '(', 'zahlen', ')', '$', 'swon', '+', '<percent>', '(', 'übernahme', ')']","['vorbörse', 'schweiz', ':', '$', 'smi', '+', '<percent>', '$', 'smim', '+', '<percent>', '$', 'csgn', '-', '<percent>', '$', 'gebn', '+', '<percent>', '(', 'zahlen', ')', '$', 'aden', '+', '<percent>', '(', 'zahlen', ')', '$', 'ams', '-', '<percent>', '(', 'zahlen', ',', 'ausblick', ')', '$', 'baln', '-', '<percent>', '(', 'ex', 'dividende', ')', '$', 'efgn', '-', '<percent>', '(', 'ex', 'dividende', ')', '$', 'heln', '-', '<percent>', '(', 'ex', 'dividende', ')', '$', 'oerl', '+', '<percent>', '(', 'zahlen', ')', '$', 'sign', '+', '<percent>', '(', 'zahlen', ')', '$', 'swon', '+', '<percent>', '(', 'übernahme', ')']","['vorbörse', 'schweiz', ':', '$', '+', '<percent>', '$', '+', '<percent>', '$', '-', '<percent>', '$', 'gebn', '+', '<percent>', '(', ')', '$', '+', '<percent>', '(', ')', '$', 'ams', '-', '<percent>', '(', ',', ')', '$', '-', '<percent>', '(', 'ex', 'dividende', ')', '$', '-', '<percent>', '(', 'ex', 'dividende', ')', '$', '-', '<percent>', '(', 'ex', 'dividende', ')', '$', '+', '<percent>', '(', ')', '$', 'sign', '+', '<percent>', '(', 'zahlen', ')', '$', '+', '<percent>', '(', 'übernahme', ')']"
1389479438451200003,230642742,"@Jackobli Zuckerproduktion in der Schweiz?
Wie sollen arme Agrarländer denn die notwendigen Devisen für technisch hochwertige Importgüter erwirtschaften, wenn sie ihre Produkte nicht mehr an reiche Industrieländer verkaufen können?",de,2021-05-04 07:18:08+00:00,0,374,1226,20080,0,0,0,2022-05-07 11:20:23,,,"@jackobli zuckerproduktion in der schweiz?
wie sollen arme agrarländer denn die notwendigen devisen für technisch hochwertige importgüter erwirtschaften, wenn sie ihre produkte nicht mehr an reiche industrieländer verkaufen können?","['<user>', 'zuckerproduktion', 'in', 'der', 'schweiz', '?', 'wie', 'sollen', 'arme', 'agrarländer', 'denn', 'die', 'notwendigen', 'devisen', 'für', 'technisch', 'hochwertige', 'importgüter', 'erwirtschaften', ',', 'wenn', 'sie', 'ihre', 'produkte', 'nicht', 'mehr', 'an', 'reiche', 'industrieländer', 'verkaufen', 'können', '?']","['<user>', 'zuckerproduktion', 'schweiz', '?', 'sollen', 'arme', 'agrarländer', 'notwendigen', 'devisen', 'technisch', 'hochwertige', 'importgüter', 'erwirtschaften', ',', 'produkte', 'mehr', 'reiche', 'industrieländer', 'verkaufen', '?']","['<user>', 'zuckerproduktion', '?', 'sollen', 'arme', 'notwendigen', 'technisch', 'hochwertige', ',', 'reiche', 'industrieländer', 'verkaufen', '?']"
